id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,offer_disclaimer,offer_disclaimer_url,video[0].url,video[0].tag[0],gtin,product_tags[0],product_tags[1],product_tags[2],style[0]
8828,Speaker 8828,Büyük boy taşınabilir Bluetooth parti hoparlörü.,in stock,new,165.00 USD,https://wa.me/905456387347?text=Merhaba%2C%20Speaker%208828%20%288828%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,,,Deluxse,Electronics > Audio > Audio Components > Speakers,,,,,,,,,,,,,,,,,,,Speaker,,,
A2,Araç tutucu A2,Masaüstü/araç için manyetik telefon tutucusu.,in stock,new,3.50 USD,https://wa.me/905456387347?text=Merhaba%2C%20Ara%C3%A7%20tutucu%20A2%20%28A2%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,,,Generic,Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Electronics > Vehicle Mounts,,,,,,,,,,,,,,,,,,,Araç Aksesuar,,,
A33,Speaker A33,Taşınabilir Bluetooth çubuk hoparlör.,in stock,new,8.00 USD,https://wa.me/905456387347?text=Merhaba%2C%20Speaker%20A33%20%28A33%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,,,Generic,Electronics > Audio > Audio Components > Speakers,,,,,,,,,,,,,,,,,,,Speaker,,,
A7711,Araç Akü takviye A7711,1200A akü takviyeli kompresörlü hava pompası (jump starter & car air pump).,in stock,new,50.00 USD,https://wa.me/905456387347?text=Merhaba%2C%20Ara%C3%A7%20Ak%C3%BC%20takviye%20A7711%20%28A7711%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/A7711.jpeg,,Generic,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Jump Starters",,,,,,,,,,,,,,,,,,,Araç Aksesuar,,,
A9933,Araç akü takviye A9933,"LCD göstergeli, 1200A tepe akımlı lastik şişirme ve akü takviye cihazı.",in stock,new,50.00 USD,https://wa.me/905456387347?text=Merhaba%2C%20Ara%C3%A7%20ak%C3%BC%20takviye%20A9933%20%28A9933%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/A9933.jpeg,,Generic,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Jump Starters",,,,,,,,,,,,,,,,,,,Araç Aksesuar,,,
AC02,Araç Aux 2M AC02,2 metre uzunluğunda araç için Aux ses kablosu.,in stock,new,1.55 USD,https://wa.me/905456387347?text=Merhaba%2C%20Ara%C3%A7%20Aux%202M%20AC02%20%28AC02%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/AC02.jpeg,,Deluxse,Electronics > Electronics Accessories > Audio Accessories > Auxiliary Cables,,,,,,,,,,,,,,,,,,,Araç Aksesuar,,,
AHV41,Araç süpürge AHV41,"LCD ekranlı, 9 başlıklı kablosuz araç içi el süpürgesi.",in stock,new,24.00 USD,https://wa.me/905456387347?text=Merhaba%2C%20Ara%C3%A7%20s%C3%BCp%C3%BCrge%20AHV41%20%28AHV41%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/AHV41.jpeg,,Generic,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Cleaning",,,,,,,,,,,,,,,,,,,Araç Aksesuar,,,
AIRPODS-PRO2-ANC,AirPods Pro2 ANC,Aktif gürültü engellemeli (ANC) kablosuz kulaklık.,in stock,new,6.50 USD,https://wa.me/905456387347?text=Merhaba%2C%20AirPods%20Pro2%20ANC%20%28AIRPODS-PRO2-ANC%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/AIRPODS-PRO2-ANC.jpeg,,Generic,Electronics > Electronics Accessories > Audio > Headphones,,,,,,,,,,,,,,,,,,,BT Kulaklık Grubu,,,
ARB-60W-SILIKON,Kablo PD PD 60W silikon,"60W Type-C to Type-C silikon kaplamalı hızlı şarj kablosu. (Kod ekran görüntüsünde görünmüyor, kontrol edin)",in stock,new,2.50 USD,https://wa.me/905456387347?text=Merhaba%2C%20Kablo%20PD%20PD%2060W%20silikon%20%28ARB-60W-SILIKON%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,,,Generic,Electronics > Electronics Accessories > Cables > Cell Phone Cables,,,,,,,,,,,,,,,,,,,Kablo Grubu,Type-C,,
ARB-CH01,Şarj 45W Type-C iOS Seti ARB-CH01,45W GaN teknolojili şarj adaptörü ve Type-C to Lightning kablo seti.,in stock,new,0.00 USD,https://wa.me/905456387347?text=Merhaba%2C%20%C5%9Earj%2045W%20Type-C%20iOS%20Seti%20ARB-CH01%20%28ARB-CH01%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB-CH01.jpeg,,Generic,Electronics > Electronics Accessories > Power > Power Adapters & Chargers,,,,,,,,,,,,,,,,,,,Şarj Grubu,iOS,Yeni,
ARB-CH03,Şarj Başlığı 25W Çift Çıkış ARB-CH03,"25W GaN teknolojili, çift Type-C çıkışlı hızlı şarj başlığı.",in stock,new,0.00 USD,https://wa.me/905456387347?text=Merhaba%2C%20%C5%9Earj%20Ba%C5%9Fl%C4%B1%C4%9F%C4%B1%2025W%20%C3%87ift%20%C3%87%C4%B1k%C4%B1%C5%9F%20ARB-CH03%20%28ARB-CH03%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB-CH03.jpeg,,Generic,Electronics > Electronics Accessories > Power > Power Adapters & Chargers,,,,,,,,,,,,,,,,,,,Şarj Başlığı,,Yeni,
ARB-CH04,Şarj 25W Type-C iOS Seti ARB-CH04,"25W GaN teknolojili, çift Type-C çıkışlı şarj adaptörü ve Type-C to Lightning kablo seti.",in stock,new,0.00 USD,https://wa.me/905456387347?text=Merhaba%2C%20%C5%9Earj%2025W%20Type-C%20iOS%20Seti%20ARB-CH04%20%28ARB-CH04%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB-CH04.jpeg,,Generic,Electronics > Electronics Accessories > Power > Power Adapters & Chargers,,,,,,,,,,,,,,,,,,,Şarj Grubu,iOS,Yeni,
ARB-M01,Kablosuz Mouse ARB-M01,2.4GHz kablosuz optik mouse.,in stock,new,0.00 USD,https://wa.me/905456387347?text=Merhaba%2C%20Kablosuz%20Mouse%20ARB-M01%20%28ARB-M01%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB-M01.jpeg,,Generic,Electronics > Computers > Computer Accessories > Input Devices > Mice,,,,,,,,,,,,,,,,,,,Bilgisayar Aksesuar,,Yeni,
ARB-M02,Kablosuz Mouse ARB-M02,2.4GHz kablosuz optik mouse.,in stock,new,0.00 USD,https://wa.me/905456387347?text=Merhaba%2C%20Kablosuz%20Mouse%20ARB-M02%20%28ARB-M02%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB-M02.jpeg,,Generic,Electronics > Computers > Computer Accessories > Input Devices > Mice,,,,,,,,,,,,,,,,,,,Bilgisayar Aksesuar,,Yeni,
ARB011,Kablo Type-C 5A ARB011,5A Type-C hızlı şarj kablosu.,in stock,new,0.45 USD,https://wa.me/905456387347?text=Merhaba%2C%20Kablo%20Type-C%205A%20ARB011%20%28ARB011%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB011.jpeg,,Generic,Electronics > Electronics Accessories > Cables > Cell Phone Cables,,,,,,,,,,,,,,,,,,,Kablo Grubu,Type-C,,
ARB012,Kablo iOS 5A ARB012,5A iOS (Lightning) hızlı şarj kablosu.,in stock,new,0.45 USD,https://wa.me/905456387347?text=Merhaba%2C%20Kablo%20iOS%205A%20ARB012%20%28ARB012%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB012.jpeg,,Generic,Electronics > Electronics Accessories > Cables > Cell Phone Cables,,,,,,,,,,,,,,,,,,,Kablo Grubu,iOS,,
ARB013-18W-IOS,Şarj 18W iOS ARB013,18W iOS uyumlu hızlı şarj adaptörü ve kablo seti.,in stock,new,2.85 USD,https://wa.me/905456387347?text=Merhaba%2C%20%C5%9Earj%2018W%20iOS%20ARB013%20%28ARB013-18W-IOS%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB013-18W-IOS.jpeg,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB013-18W-IOS-alt1.jpeg,Generic,Electronics > Electronics Accessories > Power > Power Adapters & Chargers,,,,,,,,,,,,,,,,,,,Şarj Grubu,iOS,,
ARB013-18W-MICRO,Şarj 18W micro ARB013,18W micro USB uyumlu hızlı şarj adaptörü ve kablo seti.,in stock,new,2.75 USD,https://wa.me/905456387347?text=Merhaba%2C%20%C5%9Earj%2018W%20micro%20ARB013%20%28ARB013-18W-MICRO%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB013-18W-MICRO.jpeg,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB013-18W-MICRO-alt1.jpeg,Generic,Electronics > Electronics Accessories > Power > Power Adapters & Chargers,,,,,,,,,,,,,,,,,,,Şarj Grubu,Micro USB,,
ARB013-18W-TP,Şarj 18W Type-C ARB013,18W Type-C uyumlu hızlı şarj adaptörü ve kablo seti.,in stock,new,2.85 USD,https://wa.me/905456387347?text=Merhaba%2C%20%C5%9Earj%2018W%20Type-C%20ARB013%20%28ARB013-18W-TP%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB013-18W-TP.jpeg,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB013-18W-TP-alt1.jpeg,Generic,Electronics > Electronics Accessories > Power > Power Adapters & Chargers,,,,,,,,,,,,,,,,,,,Şarj Grubu,Type-C,,
ARB013-25W-PD-IOS,Şarj 25W PD iOS ARB013,25W Power Delivery destekli iOS uyumlu hızlı şarj adaptörü ve kablo seti.,in stock,new,4.75 USD,https://wa.me/905456387347?text=Merhaba%2C%20%C5%9Earj%2025W%20PD%20iOS%20ARB013%20%28ARB013-25W-PD-IOS%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB013-25W-PD-IOS.jpeg,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB013-25W-PD-IOS-alt1.jpeg,Generic,Electronics > Electronics Accessories > Power > Power Adapters & Chargers,,,,,,,,,,,,,,,,,,,Şarj Grubu,iOS,,
